CPU_GPU_Ratio,Run,CPU_Time,GPU_Time,Total_Time,Throughput_MBps
100:0,1,0.0521998,0,0.0764201,499.175
100:0,2,0.0510564,0,0.0746848,510.773
100:0,3,0.0509099,0,0.0744679,512.261
100:0,4,0.0511413,0,0.0747514,510.318
100:0,5,0.0508375,0,0.074408,512.673
100:0,6,0.05147,0,0.0750519,508.274
100:0,7,0.0509616,0,0.0744699,512.247
100:0,8,0.0511707,0,0.0747457,510.357
100:0,9,0.0508849,0,0.0744317,512.51
100:0,10,0.0510655,0,0.0746665,510.898
75:25,1,0.0484341,0.0040865,0.0775841,491.685
75:25,2,0.0384164,0.0040503,0.0686036,556.049
75:25,3,0.0284555,0.00410832,0.0593919,642.292
75:25,4,0.0285312,0.00414682,0.0594162,642.03
75:25,5,0.0285101,0.00415738,0.0592731,643.58
75:25,6,0.0286039,0.00408931,0.0594279,641.903
75:25,7,0.0283629,0.00411258,0.0590129,646.417
75:25,8,0.028483,0.00412915,0.059251,643.82
75:25,9,0.0285602,0.00411962,0.0593175,643.098
75:25,10,0.0284562,0.00410198,0.0592191,644.167
50:50,1,0.0245276,0.00760182,0.0695282,548.655
50:50,2,0.0187207,0.00745818,0.0543383,702.028
50:50,3,0.0186604,0.00743264,0.0544507,700.578
50:50,4,0.0188064,0.0074296,0.0628845,606.62
50:50,5,0.0382293,0.00888646,0.0849358,449.127
50:50,6,0.0201365,0.00745702,0.0564777,675.435
50:50,7,0.0187745,0.00759856,0.0561522,679.35
50:50,8,0.0189023,0.0074825,0.0553109,689.683
50:50,9,0.0189547,0.00750928,0.0553787,688.838
50:50,10,0.0187178,0.0075,0.0554809,687.57
25:75,1,0.00925402,0.0110178,0.0606862,628.594
25:75,2,0.00942997,0.0108788,0.0532981,715.729
25:75,3,0.00942573,0.0109472,0.0502726,758.802
25:75,4,0.00939818,0.0111956,0.0504709,755.822
25:75,5,0.00939434,0.0112412,0.0508013,750.905
25:75,6,0.00939886,0.0112393,0.0501365,760.862
25:75,7,0.00941714,0.0112773,0.0507243,752.045
25:75,8,0.00943843,0.0112565,0.0506824,752.667
25:75,9,0.00939993,0.0112734,0.05076,751.516
25:75,10,0.00943931,0.0112466,0.0504453,756.205
0:100,1,1.28e-07,0.0144617,0.0604651,630.893
0:100,2,1.38e-07,0.0144892,0.0422767,902.317
0:100,3,6.8e-08,0.0143663,0.0599615,636.191
0:100,4,1.27e-07,0.0143718,0.0424116,899.447
0:100,5,8.9e-08,0.0144337,0.0598557,637.315
0:100,6,5.08e-07,0.0144595,0.0605968,629.521
0:100,7,1.35e-07,0.0143984,0.042433,898.993
0:100,8,6.8e-08,0.0144227,0.0598368,637.517
0:100,9,1.63e-07,0.0144745,0.0425242,897.066
0:100,10,6.1e-08,0.0144086,0.0599311,636.514
